month,total_users,new_signups,paying_users,revenue,infra_cost,team_cost,legal_cost,payment_fees,vat,age_verification_cost,total_cost,net,founder_capital_drawn,donation_drawn,loan_drawn_this_month,loan_balance,cash_balance
0,250,250,12,65.78,637.5,14933.33,48700,5.93,3.3,10.5,64281.33,-64215.56,150000,0.0,0.0,0.0,85784.44
1,346,101,17,90.13,651.9,14933.33,3700,8.12,4.52,4.26,19289.49,-19199.36,0.0,0.0,0.0,0.0,66585.08
2,474,135,23,122.58,671.1,14933.33,3700,11.04,6.15,5.68,19310.12,-19187.54,0.0,55000,0.0,0.0,102397.55
3,643,178,31,165.36,696.45,14933.33,3700,14.9,8.3,7.51,19337.3,-19171.94,0.0,0.0,0.0,0.0,83225.61
4,864,234,42,221.19,729.6,14933.33,3700,19.92,11.1,9.84,19372.77,-19151.58,0.0,0.0,0.0,0.0,64074.03
5,1150,303,55,293.34,772.5,14933.33,3700,26.42,14.72,12.75,19418.59,-19125.25,0.0,0.0,0.0,0.0,44948.78
6,1517,390,73,385.69,827.55,14933.33,3700,34.74,19.35,16.38,19477.27,-19091.57,0.0,0.0,0.0,0.0,25857.21
7,1983,496,95,502.83,897.45,14933.33,3700,45.29,25.23,20.85,19551.64,-19048.81,0.0,0.0,8191.6,8191.6,15000.0
8,2569,626,123,650.01,985.35,14933.33,3700,58.55,32.61,26.31,19644.99,-18994.98,0.0,0.0,18994.98,27207.06,15000.0
9,3300,782,158,833.27,1095.0,14933.33,3700,75.06,41.81,32.89,19761.22,-18927.95,0.0,0.0,18927.95,46203.03,15000.0
10,4204,970,201,1059.46,1230.6,14933.33,3700,95.44,53.15,40.76,19904.7,-18845.23,0.0,0.0,18845.23,65163.77,15000.0
11,5313,1193,253,1336.31,1396.95,14933.33,3700,120.37,67.04,50.11,20080.4,-18744.09,0.0,0.0,18744.09,84070.77,15000.0
12,6661,1455,317,1672.4,1599.15,28266.67,3700,150.65,83.91,61.12,33626.93,-31954.53,0.0,0.0,31954.53,116235.48,15000.0
13,8288,1760,394,2077.06,1843.2,28266.67,3700,187.1,104.21,73.94,33883.81,-31806.75,0.0,0.0,31806.75,148332.81,15000.0
14,10236,2113,486,2560.53,2135.4,28266.67,3700,230.65,128.46,88.78,34190.85,-31630.32,0.0,0.0,31630.32,180333.97,15000.0
15,12550,2519,595,3133.75,2482.5,28266.67,3700,282.29,157.22,105.81,34554.98,-31421.23,0.0,0.0,31421.23,212206.03,15000.0
16,15279,2980,723,3808.31,2891.85,28266.67,3700,343.05,191.07,125.19,34983.71,-31175.4,0.0,0.0,31175.4,243911.94,15000.0
17,18475,3501,873,4596.38,3371.25,28266.67,3700,414.04,230.61,147.08,35485.0,-30888.62,0.0,0.0,30888.62,275410.34,15000.0
18,22191,4086,1047,5510.6,3928.65,36586.67,3700,496.39,276.47,171.62,44386.94,-38876.34,0.0,0.0,38876.34,314975.2,15000.0
19,26483,4736,1247,6563.87,4572.45,36586.67,3700,591.27,329.32,198.93,45058.04,-38494.17,0.0,0.0,38494.17,354256.81,15000.0
20,31407,5454,1476,7769.24,5311.05,36586.67,3700,699.85,389.79,229.09,45826.81,-38057.57,0.0,0.0,38057.57,393200.03,15000.0
21,37021,6242,1736,9139.68,6153.15,36586.67,3700,823.3,458.55,262.18,46702.0,-37562.31,0.0,0.0,37562.31,431745.34,15000.0
22,43381,7100,2031,10687.97,7107.15,36586.67,3700,962.77,536.23,298.23,47692.04,-37004.07,0.0,0.0,37004.07,469828.77,15000.0
23,50542,8029,2361,12426.4,8181.3,36586.67,3700,1119.37,623.45,337.23,48805.2,-36378.8,0.0,0.0,36378.8,507382.14,15000.0
24,58558,9027,2730,14366.56,9383.7,49920.0,3700,1294.14,720.79,379.15,63382.85,-49016.29,0.0,0.0,49016.29,557666.89,15000.0
25,67479,10092,3139,16519.18,10721.85,49920.0,3700,1488.05,828.78,423.9,64765.75,-48246.57,0.0,0.0,48246.57,607307.62,15000.0
26,77352,11223,3590,18893.91,12202.8,49920.0,3700,1701.96,947.93,471.39,66294.19,-47400.27,0.0,0.0,47400.27,656226.17,15000.0
27,88220,12415,4085,21499.1,13833.0,49920.0,3700,1936.64,1078.63,521.44,67974.44,-46475.34,0.0,0.0,46475.34,704342.08,15000.0
28,100119,13664,4625,24341.66,15617.85,49920.0,3700,2192.69,1221.25,573.89,69811.74,-45470.09,0.0,0.0,45470.09,751573.02,15000.0
29,113080,14964,5212,27426.82,17562.0,49920.0,3700,2470.6,1376.03,628.5,71810.5,-44383.68,0.0,0.0,44383.68,797835.63,15000.0
30,127128,16310,5845,30758.05,19669.2,60053.33,3700,2770.68,1543.16,685.02,84107.55,-53349.51,0.0,0.0,53349.51,853179.73,15000.0
31,142279,17694,6525,34336.93,21941.85,60053.33,3700,3093.06,1722.72,743.17,86438.35,-52101.42,0.0,0.0,52101.42,907414.1,15000.0
32,158543,19110,7252,38163.02,24381.45,60053.33,3700,3437.72,1914.68,802.63,88937.41,-50774.39,0.0,0.0,50774.39,960457.03,15000.0
33,175921,20549,8026,42233.84,26988.15,60053.33,3700,3804.42,2118.92,863.07,91604.56,-49370.72,0.0,0.0,49370.72,1012228.89,15000.0
34,194406,22003,8845,46544.83,29760.9,60053.33,3700,4192.75,2335.2,924.16,94438.39,-47893.56,0.0,0.0,47893.56,1062653.02,15000.0
35,213982,23464,9709,51089.32,32697.3,60053.33,3700,4602.12,2563.2,985.52,97436.15,-46346.83,0.0,0.0,46346.83,1111656.49,15000.0
36,234625,24923,10615,55858.58,35793.75,60053.33,3700,5031.73,2802.48,1046.79,100593.87,-44735.29,0.0,0.0,44735.29,1159170.92,15000.0
37,256303,26371,11562,60841.86,39045.45,60053.33,3700,5480.62,3052.5,1107.6,103906.38,-43064.53,0.0,0.0,43064.53,1205133.38,15000.0
38,278976,27799,12547,66026.51,42446.4,60053.33,3700,5947.66,3312.62,1167.59,107367.32,-41340.82,0.0,0.0,41340.82,1249487.02,15000.0
39,302596,29199,13568,71398.07,45989.4,60053.33,3700,6431.53,3582.12,1226.4,110969.13,-39571.06,0.0,0.0,39571.06,1292181.8,15000.0
40,327107,30563,14621,76940.43,49666.05,60053.33,3700,6930.78,3860.18,1283.67,114703.06,-37762.62,0.0,0.0,37762.62,1333174.87,15000.0
41,352447,31882,15704,82635.93,53467.05,60053.33,3700,7443.83,4145.93,1339.09,118559.47,-35923.54,0.0,0.0,35923.54,1372431.35,15000.0
42,378548,33150,16812,88465.57,57382.2,60053.33,3700,7968.96,4438.41,1392.32,122527.85,-34062.28,0.0,0.0,34062.28,1409924.71,15000.0
43,405336,34359,17941,94409.22,61400.4,60053.33,3700,8504.37,4736.61,1443.09,126596.83,-32187.61,0.0,0.0,32187.61,1445637.12,15000.0
44,432732,35503,19088,100445.76,65509.8,60053.33,3700,9048.14,5039.47,1491.13,130754.26,-30308.5,0.0,0.0,748.78,1450000.0,-14559.72
45,460653,36576,20249,106553.33,69697.95,60053.33,3700,9598.3,5345.89,1536.2,134987.48,-28434.15,0.0,0.0,0.0,1453625.0,-42993.87
46,489013,37573,21419,112709.51,73951.95,60053.33,3700,10152.85,5654.75,1578.08,139283.36,-26573.86,0.0,0.0,0.0,1457259.06,-69567.72
47,517723,38490,22594,118891.52,78258.45,60053.33,3700,10709.73,5964.91,1616.6,143628.38,-24736.86,0.0,0.0,0.0,1460902.21,-94304.58
48,546692,39324,23769,125076.47,82603.8,60053.33,3700,11266.87,6275.22,1651.61,148008.74,-22932.28,0.0,0.0,0.0,1464554.47,-117236.86
49,575829,40071,24941,131241.47,86974.35,60053.33,3700,11822.21,6584.52,1682.98,152410.67,-21169.19,0.0,0.0,0.0,1468215.85,-138406.05
