month,groups,mau,supporters,archives,sponsors,revenue,team,infra,legal,cost,net,heads,cash,loan,capital_committed,unfunded_cum,out_of_money,lean_phase
0,38,206,1,2,0.0,9,7500,1508,48500,57508,-57499,2.0,92501,0,150000,0,False,True
1,41,222,1,2,0.0,13,7500,1509,3500,12509,-12497,2.0,80004,0,150000,0,False,True
2,45,239,2,2,0.0,15,7500,1510,3500,12510,-12495,2.0,67509,0,150000,0,False,True
3,48,257,2,2,0.0,17,7500,1511,3500,12511,-12494,2.0,110015,0,205000,0,False,True
4,52,277,3,2,0.0,19,7500,1512,3500,12512,-12493,2.0,97522,0,205000,0,False,True
5,56,297,3,2,0.0,21,7500,1513,3500,12513,-12492,2.0,85030,0,205000,0,False,True
6,60,319,3,2,0.0,23,7500,1514,3500,12514,-12492,2.0,72538,0,205000,0,False,True
7,64,342,3,3,0.0,24,7500,1516,3500,12516,-12491,2.0,60047,0,205000,0,False,True
8,68,366,4,3,0.0,26,7500,1517,3500,12517,-12491,2.0,47556,0,205000,0,False,True
9,73,391,4,3,0.0,28,7500,1518,3500,12518,-12490,2.0,35066,0,205000,0,False,True
10,78,418,4,3,0.0,30,7500,1520,3500,12520,-12490,2.0,22577,0,205000,0,False,True
11,83,446,4,3,0.0,32,7500,1521,3500,12521,-12489,2.0,10088,0,205000,0,False,True
12,92,492,5,4,1.0,233,7500,1523,3500,12523,-12290,2.0,0,0,205000,2203,True,True
13,104,556,5,4,2.0,431,7500,1526,3500,12526,-12095,2.0,0,0,205000,14298,True,True
14,119,639,6,5,2.9,626,7500,1530,3500,12530,-11904,2.0,0,0,205000,26202,True,True
15,139,742,7,6,3.9,819,7500,1535,3500,12535,-11715,2.0,0,0,205000,37917,True,True
16,162,865,8,6,4.8,1010,7500,1540,3500,12540,-11530,2.0,0,0,205000,49447,True,True
17,189,1010,9,8,5.7,1199,7500,1547,3500,12547,-11348,2.0,0,0,205000,60796,True,True
18,220,1176,11,9,6.6,1385,7500,1554,5000,14054,-12669,2.0,0,0,205000,73465,True,True
19,255,1366,12,10,7.5,1570,7500,1563,5000,14063,-12493,2.0,0,0,205000,85958,True,True
20,295,1579,14,12,8.3,1753,7500,1573,5000,14073,-12320,2.0,0,0,205000,98278,True,True
21,339,1816,16,14,9.1,1934,7500,1583,5000,14083,-12149,2.0,0,0,205000,110427,True,True
22,388,2078,19,16,10.0,2114,7500,1595,5000,14095,-11981,2.0,0,0,205000,122408,True,True
23,442,2366,22,18,10.8,2293,7500,1608,5000,14108,-11815,2.0,0,0,205000,134224,True,True
24,500,2680,25,20,11.5,2470,7500,1623,5000,14123,-11652,2.0,0,0,205000,145876,True,True
25,564,3021,28,23,12.3,2647,7500,1638,5000,14138,-11492,2.0,0,0,205000,157367,True,True
26,633,3389,31,25,13.1,2822,7500,1655,5000,14155,-11333,2.0,0,0,205000,168700,True,True
27,707,3785,35,28,13.8,2997,7500,1673,5000,14173,-11177,2.0,0,0,205000,179877,True,True
28,786,4210,39,31,14.5,3170,7500,1693,5000,14193,-11023,2.0,0,0,205000,190900,True,True
29,871,4664,44,35,15.2,3343,7500,1714,5000,14214,-10871,2.0,0,0,205000,201770,True,True
30,961,5148,49,38,15.9,3516,7500,1736,5000,14236,-10720,2.0,0,0,205000,212491,True,True
31,1057,5661,54,42,16.6,3688,7500,1760,5000,14260,-10572,2.0,0,0,205000,223063,True,True
32,1159,6205,59,46,17.3,3859,7500,1785,5000,14285,-10426,2.0,0,0,205000,233489,True,True
33,1266,6779,65,51,17.9,4030,7500,1812,5000,14312,-10282,2.0,0,0,205000,243771,True,True
34,1379,7385,71,55,18.6,4201,7500,1840,5000,14340,-10139,2.0,0,0,205000,253910,True,True
35,1498,8021,78,60,19.2,4372,7500,1870,5000,14370,-9998,2.0,0,0,205000,263907,True,True
36,1623,8689,84,65,19.8,4543,7500,1901,5000,14401,-9858,2.0,0,0,205000,273766,True,True
37,1753,9389,92,70,20.4,4714,7500,1934,5000,14434,-9721,2.0,0,0,205000,283486,True,True
38,1890,10120,99,76,21.0,4884,7500,1969,5000,14469,-9584,2.0,0,0,205000,293071,True,True
39,2032,10883,107,81,21.6,5055,7500,2005,5000,14505,-9450,2.0,0,0,205000,302520,True,True
40,2181,11677,115,87,22.2,5226,7500,2043,5000,14543,-9317,2.0,0,0,205000,311837,True,True
41,2335,12503,124,93,22.7,5397,7500,2083,5000,14583,-9185,2.0,0,0,205000,321023,True,True
42,2495,13361,132,100,23.3,5569,7500,2124,5000,14624,-9055,2.0,0,0,205000,330078,True,True
43,2661,14249,142,106,23.8,5740,7500,2167,5000,14667,-8927,2.0,0,0,205000,339005,True,True
44,2833,15169,151,113,24.3,5912,7500,2212,5000,14712,-8800,2.0,0,0,205000,347805,True,True
45,3010,16120,161,120,24.8,6084,7500,2258,5000,14758,-8674,2.0,0,0,205000,356479,True,True
46,3193,17100,171,128,25.3,6256,7500,2306,5000,14806,-8550,2.0,0,0,205000,365029,True,True
47,3382,18111,182,135,25.8,6429,7500,2356,5000,14856,-8427,2.0,0,0,205000,373456,True,True
48,3576,19151,193,143,26.3,6602,7500,2408,5000,14908,-8306,2.0,0,0,205000,381762,True,True
49,3776,20220,204,151,26.8,6776,7500,2461,5000,14961,-8186,2.0,0,0,205000,389947,True,True
50,3981,21317,215,159,27.3,6950,7500,2517,5000,15017,-8067,2.0,0,0,205000,398014,True,True
51,4191,22442,227,168,27.7,7124,7500,2573,5000,15073,-7950,2.0,0,0,205000,405964,True,True
