month,groups,mau,supporters,archives,sponsors,revenue,team,infra,legal,cost,net,heads,cash,loan,capital_committed,unfunded_cum,out_of_money,lean_phase
0,38,206,1,2,0.0,9,7500,1508,48500,57508,-57499,2.0,92501,0,150000,0,False,True
1,41,222,1,2,0.0,13,7500,1509,3500,12509,-12497,2.0,80004,0,150000,0,False,True
2,45,239,2,2,0.0,15,7500,1510,3500,12510,-12495,2.0,67509,0,150000,0,False,True
3,48,257,2,2,0.0,17,7500,1511,3500,12511,-12494,2.0,110015,0,205000,0,False,True
4,52,277,3,2,0.0,19,7500,1512,3500,12512,-12493,2.0,97522,0,205000,0,False,True
5,56,297,3,2,0.0,21,7500,1513,3500,12513,-12492,2.0,85030,0,205000,0,False,True
6,60,319,3,2,0.0,23,7500,1514,3500,12514,-12492,2.0,72538,0,205000,0,False,True
7,64,342,3,3,0.0,24,7500,1516,3500,12516,-12491,2.0,60047,0,205000,0,False,True
8,68,366,4,3,0.0,26,7500,1517,3500,12517,-12491,2.0,47556,0,205000,0,False,True
9,73,391,4,3,0.0,28,7500,1518,3500,12518,-12490,2.0,35066,0,205000,0,False,True
10,78,418,4,3,0.0,30,7500,1520,3500,12520,-12490,2.0,22577,0,205000,0,False,True
11,83,446,4,3,0.0,32,7500,1521,3500,12521,-12489,2.0,20000,9912,214912,0,False,True
12,92,492,5,4,1.0,233,7500,1523,3500,12548,-12315,2.0,20000,22227,227227,0,False,True
13,104,556,5,4,2.0,431,7500,1526,3500,12582,-12151,2.0,20000,34378,239378,0,False,True
14,119,639,6,5,2.9,626,7500,1530,3500,12616,-11990,2.0,20000,46368,251368,0,False,True
15,139,742,7,6,3.9,819,7500,1535,3500,12651,-11831,2.0,20000,58199,263199,0,False,True
16,162,865,8,6,4.8,1010,7500,1540,3500,12686,-11676,2.0,20000,69875,274875,0,False,True
17,189,1010,9,8,5.7,1199,7500,1547,3500,12722,-11523,2.0,20000,81398,286398,0,False,True
18,220,1176,11,9,6.6,1385,7500,1554,5000,14258,-12873,2.0,20000,94271,299271,0,False,True
19,255,1366,12,10,7.5,1570,7500,1563,5000,14299,-12729,2.0,20000,107000,312000,0,False,True
20,295,1579,14,12,8.3,1753,7500,1573,5000,14340,-12587,2.0,20000,119587,324587,0,False,True
21,339,1816,16,14,9.1,1934,7500,1583,5000,14382,-12448,2.0,20000,132035,337035,0,False,True
22,388,2078,19,16,10.0,2114,7500,1595,5000,14425,-12311,2.0,20000,144346,349346,0,False,True
23,442,2366,22,18,10.8,2293,7500,1608,5000,14469,-12176,2.0,20000,156523,361523,0,False,True
24,500,2680,25,20,11.5,2470,7500,1623,5000,14514,-12044,2.0,20000,168566,373566,0,False,True
25,564,3021,28,23,12.3,2647,7500,1638,5000,14560,-11913,2.0,20000,180479,385479,0,False,True
26,633,3389,31,25,13.1,2822,7500,1655,5000,14606,-11784,2.0,20000,192263,397263,0,False,True
27,707,3785,35,28,13.8,2997,7500,1673,5000,14654,-11657,2.0,20000,203921,408921,0,False,True
28,786,4210,39,31,14.5,3170,7500,1693,5000,14703,-11532,2.0,20000,215453,420453,0,False,True
29,871,4664,44,35,15.2,3343,7500,1714,5000,14752,-11409,2.0,20000,226862,431862,0,False,True
30,961,5148,49,38,15.9,3516,7500,1736,5000,14803,-11288,2.0,20000,238150,443150,0,False,True
31,1057,5661,54,42,16.6,3688,7500,1760,5000,14855,-11168,2.0,20000,249318,454318,0,False,True
32,1159,6205,59,46,17.3,3859,7500,1785,5000,14909,-11049,2.0,20000,260367,465367,0,False,True
33,1266,6779,65,51,17.9,4030,7500,1812,5000,14963,-10933,2.0,20000,271299,476299,0,False,True
34,1379,7385,71,55,18.6,4201,7500,1840,5000,15019,-10817,2.0,20000,282117,487117,0,False,True
35,1498,8021,78,60,19.2,4372,7500,1870,5000,15075,-10703,2.0,20000,292820,497820,0,False,True
36,1623,8689,84,65,19.8,4543,7500,1901,5000,15133,-10590,2.0,16590,300000,505000,0,False,True
37,1753,9389,92,70,20.4,4714,7500,1934,5000,15184,-10471,2.0,6119,300000,505000,0,False,True
38,1890,10120,99,76,21.0,4884,7500,1969,5000,15219,-10334,2.0,0,300000,505000,4215,True,True
39,2032,10883,107,81,21.6,5055,7500,2005,5000,15255,-10200,2.0,0,300000,505000,14415,True,True
40,2181,11677,115,87,22.2,5226,7500,2043,5000,15293,-10067,2.0,0,300000,505000,24482,True,True
41,2335,12503,124,93,22.7,5397,7500,2083,5000,15333,-9935,2.0,0,300000,505000,34417,True,True
42,2495,13361,132,100,23.3,5569,7500,2124,5000,15374,-9805,2.0,0,300000,505000,44222,True,True
43,2661,14249,142,106,23.8,5740,7500,2167,5000,15417,-9677,2.0,0,300000,505000,53899,True,True
44,2833,15169,151,113,24.3,5912,7500,2212,5000,15462,-9550,2.0,0,300000,505000,63449,True,True
45,3010,16120,161,120,24.8,6084,7500,2258,5000,15508,-9424,2.0,0,300000,505000,72873,True,True
46,3193,17100,171,128,25.3,6256,7500,2306,5000,15556,-9300,2.0,0,300000,505000,82173,True,True
47,3382,18111,182,135,25.8,6429,7500,2356,5000,15606,-9177,2.0,0,300000,505000,91350,True,True
48,3576,19151,193,143,26.3,6602,7500,2408,5000,15658,-9056,2.0,0,300000,505000,100406,True,True
49,3776,20220,204,151,26.8,6776,7500,2461,5000,15711,-8936,2.0,0,300000,505000,109342,True,True
50,3981,21317,215,159,27.3,6950,7500,2517,5000,15767,-8817,2.0,0,300000,505000,118159,True,True
