month,groups,mau,supporters,archives,sponsors,revenue,team,infra,legal,cost,net,heads,cash,loan,capital_committed,unfunded_cum,out_of_money,lean_phase
0,38,206,2,2,0.0,14,7500,1508,48500,57508,-57495,2.0,92505,0,150000,0,False,True
1,43,228,3,2,0.0,20,7500,1510,3500,12510,-12489,2.0,80016,0,150000,0,False,True
2,47,252,4,2,0.0,26,7500,1511,3500,12511,-12485,2.0,67531,0,150000,0,False,True
3,52,279,5,2,0.0,30,7500,1512,3500,12512,-12482,2.0,110049,0,205000,0,False,True
4,58,308,6,2,0.0,35,7500,1514,3500,12514,-12479,2.0,97570,0,205000,0,False,True
5,63,340,7,3,0.0,39,7500,1515,3500,12515,-12476,2.0,85094,0,205000,0,False,True
6,70,374,7,3,0.0,43,7500,1517,3500,12517,-12474,2.0,72620,0,205000,0,False,True
7,77,411,8,3,0.0,48,7500,1519,3500,12519,-12471,2.0,60149,0,205000,0,False,True
8,84,452,9,3,0.0,53,7500,1521,3500,12521,-12468,2.0,47681,0,205000,0,False,True
9,93,496,10,4,0.0,58,7500,1523,3500,12523,-12465,2.0,35216,0,205000,0,False,True
10,101,543,11,4,0.0,64,7500,1525,3500,12525,-12462,2.0,22755,0,205000,0,False,True
11,111,594,12,4,0.0,70,7500,1528,3500,12528,-12458,2.0,10297,0,205000,0,False,True
12,127,682,13,5,2.0,475,7500,1532,3500,12532,-12057,2.0,8656,0,215417,0,False,True
13,151,808,15,6,4.0,875,7500,1538,3500,12538,-11663,2.0,7410,0,225833,0,False,True
14,182,975,18,7,5.9,1272,7500,1546,3500,12546,-11273,2.0,6554,0,236250,0,False,True
15,222,1187,21,9,7.8,1667,7500,1555,3500,12555,-10888,2.0,6082,0,246667,0,False,True
16,270,1445,26,11,9.6,2059,7500,1567,3500,12567,-10507,2.0,5991,0,257083,0,False,True
17,327,1753,31,13,11.4,2450,7500,1580,3500,12580,-10130,2.0,6278,0,267500,0,False,True
18,395,2115,38,16,13.2,2840,7500,1597,5000,14097,-11256,2.0,5438,0,277917,0,False,True
19,473,2532,46,19,14.9,3230,7500,1615,5000,14115,-10885,2.0,4969,0,288333,0,False,True
20,562,3008,54,22,16.6,3620,7500,1637,5000,14137,-10516,2.0,4870,0,298750,0,False,True
21,662,3547,65,26,18.3,4011,7500,1661,5000,14161,-10150,2.0,5137,0,309167,0,False,True
22,775,4152,76,31,19.9,4404,7500,1689,5000,14189,-9785,2.0,5769,0,319583,0,False,True
23,901,4826,89,36,21.5,4799,7500,1719,5000,14219,-9421,2.0,6765,0,330000,0,False,True
24,1041,5573,104,42,23.1,5196,7500,1753,5000,14253,-9057,2.0,8124,0,340417,0,False,True
25,1194,6396,120,48,24.6,5596,7500,1791,5000,14291,-8695,2.0,9846,0,350833,0,False,True
