month,groups,mau,supporters,archives,sponsors,revenue,team,infra,legal,cost,net,heads,cash,loan,capital_committed,unfunded_cum,out_of_money,lean_phase
0,38,201,0,2,0.0,7,7500,1508,48500,57508,-57501,2.0,92499,0,150000,0,False,True
1,38,203,1,2,0.0,9,7500,1508,3500,12508,-12500,2.0,79999,0,150000,0,False,True
2,38,205,1,2,0.0,9,7500,1509,3500,12509,-12499,2.0,67500,0,150000,0,False,True
3,39,207,1,2,0.0,10,7500,1509,3500,12509,-12499,2.0,110001,0,205000,0,False,True
4,39,208,1,2,0.0,10,7500,1509,3500,12509,-12499,2.0,97502,0,205000,0,False,True
5,39,209,1,2,0.0,11,7500,1509,3500,12509,-12499,2.0,85003,0,205000,0,False,True
6,39,211,1,2,0.0,11,7500,1510,3500,12510,-12499,2.0,72504,0,205000,0,False,True
7,40,212,1,2,0.0,11,7500,1510,3500,12510,-12499,2.0,60005,0,205000,0,False,True
8,40,213,1,2,0.0,11,7500,1510,3500,12510,-12499,2.0,47506,0,205000,0,False,True
9,40,214,1,2,0.0,11,7500,1510,3500,12510,-12499,2.0,35006,0,205000,0,False,True
10,40,214,1,2,0.0,11,7500,1510,3500,12510,-12499,2.0,22507,0,205000,0,False,True
11,40,215,1,2,0.0,11,7500,1511,3500,12511,-12500,2.0,10007,0,205000,0,False,True
12,41,222,1,2,0.4,91,7500,1511,3500,12511,-12421,2.0,0,0,205000,2413,True,True
13,44,235,1,2,0.8,169,7500,1512,3500,12512,-12343,2.0,0,0,205000,14756,True,True
14,47,254,1,2,1.2,246,7500,1513,3500,12513,-12267,2.0,0,0,205000,27023,True,True
15,52,279,1,2,1.6,321,7500,1514,3500,12514,-12193,2.0,0,0,205000,39216,True,True
16,58,310,2,2,1.9,396,7500,1515,3500,12515,-12120,2.0,0,0,205000,51336,True,True
17,65,346,2,3,2.3,469,7500,1517,3500,12517,-12048,2.0,0,0,205000,63384,True,True
18,72,388,2,3,2.6,541,7500,1519,5000,14019,-13478,2.0,0,0,205000,76862,True,True
19,81,435,2,3,3.0,612,7500,1521,5000,14021,-13409,2.0,0,0,205000,90271,True,True
20,91,487,2,4,3.3,682,7500,1524,5000,14024,-13342,2.0,0,0,205000,103613,True,True
21,102,544,3,4,3.7,751,7500,1526,5000,14026,-13276,2.0,0,0,205000,116889,True,True
22,113,606,3,5,4.0,818,7500,1529,5000,14029,-13211,2.0,0,0,205000,130100,True,True
23,126,673,3,5,4.3,885,7500,1532,5000,14032,-13147,2.0,0,0,205000,143247,True,True
24,139,744,4,6,4.6,951,7500,1535,5000,14035,-13085,2.0,0,0,205000,156332,True,True
25,153,819,4,6,4.9,1015,7500,1539,5000,14039,-13024,2.0,0,0,205000,169355,True,True
26,168,898,4,7,5.2,1079,7500,1543,5000,14043,-12964,2.0,0,0,205000,182319,True,True
27,183,980,5,7,5.5,1141,7500,1546,5000,14046,-12905,2.0,0,0,205000,195224,True,True
28,199,1067,5,8,5.8,1203,7500,1551,5000,14051,-12847,2.0,0,0,205000,208072,True,True
29,216,1156,6,9,6.1,1264,7500,1555,5000,14055,-12791,2.0,0,0,205000,220863,True,True
30,233,1249,6,9,6.4,1323,7500,1559,5000,14059,-12736,2.0,0,0,205000,233598,True,True
31,251,1345,7,10,6.6,1382,7500,1564,5000,14064,-12681,2.0,0,0,205000,246280,True,True
32,270,1444,7,11,6.9,1440,7500,1568,5000,14068,-12628,2.0,0,0,205000,258908,True,True
33,289,1545,8,12,7.2,1497,7500,1573,5000,14073,-12576,2.0,0,0,205000,271484,True,True
34,308,1649,8,12,7.4,1553,7500,1578,5000,14078,-12525,2.0,0,0,205000,284009,True,True
35,328,1754,9,13,7.7,1608,7500,1583,5000,14083,-12475,2.0,0,0,205000,296484,True,True
36,348,1862,9,14,7.9,1662,7500,1588,5000,14088,-12426,2.0,0,0,205000,308910,True,True
37,368,1971,10,15,8.2,1716,7500,1594,5000,14094,-12378,2.0,0,0,205000,321288,True,True
38,389,2082,10,16,8.4,1768,7500,1599,5000,14099,-12331,2.0,0,0,205000,333619,True,True
39,410,2195,11,16,8.6,1820,7500,1605,5000,14105,-12285,2.0,0,0,205000,345904,True,True
40,431,2308,12,17,8.9,1871,7500,1610,5000,14110,-12239,2.0,0,0,205000,358143,True,True
41,452,2423,12,18,9.1,1921,7500,1616,5000,14116,-12195,2.0,0,0,205000,370338,True,True
42,474,2538,13,19,9.3,1970,7500,1622,5000,14122,-12152,2.0,0,0,205000,382490,True,True
43,496,2654,14,20,9.5,2018,7500,1628,5000,14128,-12110,2.0,0,0,205000,394600,True,True
44,517,2771,14,21,9.7,2066,7500,1634,5000,14134,-12068,2.0,0,0,205000,406668,True,True
45,539,2888,15,22,9.9,2112,7500,1640,5000,14140,-12027,2.0,0,0,205000,418695,True,True
46,561,3005,15,22,10.1,2158,7500,1646,5000,14146,-11988,2.0,0,0,205000,430683,True,True
47,583,3121,16,23,10.3,2203,7500,1652,5000,14152,-11949,2.0,0,0,205000,442631,True,True
48,605,3238,17,24,10.5,2248,7500,1658,5000,14158,-11911,2.0,0,0,205000,454542,True,True
49,626,3355,17,25,10.7,2291,7500,1664,5000,14164,-11873,2.0,0,0,205000,466415,True,True
