month,groups,mau,supporters,archives,sponsors,revenue,team,infra,legal,cost,net,heads,cash,loan,capital_committed,unfunded_cum,out_of_money,lean_phase
0,38,206,1,2,0.0,9,7500,1508,48500,57508,-57499,2.0,92501,0,150000,0,False,True
1,41,222,1,2,0.0,13,7500,1509,3500,12509,-12497,2.0,80004,0,150000,0,False,True
2,45,239,2,2,0.0,15,7500,1510,3500,12510,-12495,2.0,67509,0,150000,0,False,True
3,48,257,2,2,0.0,17,7500,1511,3500,12511,-12494,2.0,110015,0,205000,0,False,True
4,52,277,3,2,0.0,19,7500,1512,3500,12512,-12493,2.0,97522,0,205000,0,False,True
5,56,297,3,2,0.0,21,7500,1513,3500,12513,-12492,2.0,85030,0,205000,0,False,True
6,60,319,3,2,0.0,23,7500,1514,3500,12514,-12492,2.0,72538,0,205000,0,False,True
7,64,342,3,3,0.0,24,7500,1516,3500,12516,-12491,2.0,60047,0,205000,0,False,True
8,68,366,4,3,0.0,26,7500,1517,3500,12517,-12491,2.0,47556,0,205000,0,False,True
9,73,391,4,3,0.0,28,7500,1518,3500,12518,-12490,2.0,35066,0,205000,0,False,True
10,78,418,4,3,0.0,30,7500,1520,3500,12520,-12490,2.0,22577,0,205000,0,False,True
11,83,446,4,3,0.0,32,7500,1521,3500,12521,-12489,2.0,10088,0,205000,0,False,True
12,89,476,5,4,0.0,34,7500,1523,3500,12523,-12488,2.0,0,0,205000,2401,True,True
13,95,507,5,4,0.0,37,7500,1524,3500,12524,-12488,2.0,0,0,205000,14888,True,True
14,101,540,5,4,0.0,39,7500,1526,3500,12526,-12487,2.0,0,0,205000,27375,True,True
15,107,574,6,4,0.0,42,7500,1528,3500,12528,-12486,2.0,0,0,205000,39862,True,True
16,114,610,6,5,0.0,44,7500,1530,3500,12530,-12486,2.0,0,0,205000,52347,True,True
17,121,647,6,5,0.0,47,7500,1532,3500,12532,-12485,2.0,0,0,205000,64832,True,True
18,128,686,7,5,0.0,50,7500,1534,5000,14034,-13984,2.0,0,0,205000,78816,True,True
19,136,726,7,5,0.0,53,7500,1536,5000,14036,-13983,2.0,0,0,205000,92800,True,True
20,144,769,8,6,0.0,56,7500,1538,5000,14038,-13982,2.0,0,0,205000,106782,True,True
21,152,813,8,6,0.0,59,7500,1540,5000,14040,-13981,2.0,0,0,205000,120763,True,True
22,160,858,9,6,0.0,62,7500,1543,5000,14043,-13980,2.0,0,0,205000,134744,True,True
23,169,906,9,7,0.0,66,7500,1545,5000,14045,-13979,2.0,0,0,205000,148723,True,True
24,178,955,10,7,0.0,70,7500,1548,5000,14048,-13978,2.0,0,0,205000,162702,True,True
25,188,1006,10,8,0.0,73,7500,1551,5000,14051,-13977,2.0,0,0,205000,176679,True,True
26,198,1058,11,8,0.0,77,7500,1554,5000,14054,-13976,2.0,0,0,205000,190655,True,True
27,208,1113,11,8,0.0,81,7500,1556,5000,14056,-13975,2.0,0,0,205000,204631,True,True
28,218,1169,12,9,0.0,85,7500,1559,5000,14059,-13974,2.0,0,0,205000,218604,True,True
29,229,1227,12,9,0.0,90,7500,1562,5000,14062,-13973,2.0,0,0,205000,232577,True,True
30,240,1287,13,10,0.0,94,7500,1566,5000,14066,-13971,2.0,0,0,205000,246548,True,True
31,252,1349,14,10,0.0,99,7500,1569,5000,14069,-13970,2.0,0,0,205000,260519,True,True
32,264,1412,14,11,0.0,104,7500,1572,5000,14072,-13969,2.0,0,0,205000,274487,True,True
33,276,1477,15,11,0.0,108,7500,1576,5000,14076,-13967,2.0,0,0,205000,288454,True,True
34,288,1544,16,12,0.0,113,7500,1579,5000,14079,-13966,2.0,0,0,205000,302420,True,True
35,301,1613,17,12,0.0,119,7500,1583,5000,14083,-13964,2.0,0,0,205000,316385,True,True
36,314,1683,17,13,0.0,124,7500,1586,5000,14086,-13963,2.0,0,0,205000,330347,True,True
37,328,1755,18,13,0.0,129,7500,1590,5000,14090,-13961,2.0,0,0,205000,344308,True,True
38,341,1828,19,14,0.0,135,7500,1594,5000,14094,-13960,2.0,0,0,205000,358268,True,True
39,355,1903,20,14,0.0,140,7500,1598,5000,14098,-13958,2.0,0,0,205000,372226,True,True
40,370,1980,20,15,0.0,146,7500,1602,5000,14102,-13956,2.0,0,0,205000,386182,True,True
41,384,2058,21,15,0.0,152,7500,1607,5000,14107,-13955,2.0,0,0,205000,400137,True,True
42,399,2138,22,16,0.0,158,7500,1611,5000,14111,-13953,2.0,0,0,205000,414090,True,True
43,414,2219,23,17,0.0,164,7500,1615,5000,14115,-13951,2.0,0,0,205000,428041,True,True
44,430,2301,24,17,0.0,170,7500,1620,5000,14120,-13950,2.0,0,0,205000,441990,True,True
45,445,2385,25,18,0.0,177,7500,1624,5000,14124,-13948,2.0,0,0,205000,455938,True,True
46,461,2470,26,18,0.0,183,7500,1629,5000,14129,-13946,2.0,0,0,205000,469884,True,True
47,477,2556,27,19,0.0,189,7500,1634,5000,14134,-13944,2.0,0,0,205000,483829,True,True
48,494,2643,28,20,0.0,196,7500,1639,5000,14139,-13943,2.0,0,0,205000,497772,True,True
49,510,2731,28,20,0.0,203,7500,1644,5000,14144,-13941,2.0,0,0,205000,511713,True,True
50,527,2820,29,21,0.0,209,7500,1649,5000,14149,-13939,2.0,0,0,205000,525652,True,True
51,543,2910,30,22,0.0,216,7500,1654,5000,14154,-13938,2.0,0,0,205000,539590,True,True
52,560,3000,31,22,0.0,223,7500,1659,5000,14159,-13936,2.0,0,0,205000,553526,True,True
53,577,3092,32,23,0.0,230,7500,1665,5000,14165,-13934,2.0,0,0,205000,567460,True,True
