month,groups,mau,supporters,archives,sponsors,revenue,team,infra,legal,cost,net,heads,cash,loan,capital_committed,unfunded_cum,out_of_money,lean_phase
0,38,201,1,2,0.0,9,7500,1508,48500,57508,-57499,2.0,92501,0,150000,0,False,True
1,40,213,1,2,0.0,12,7500,1509,3500,12509,-12497,2.0,80004,0,150000,0,False,True
2,42,225,2,2,0.0,14,7500,1510,3500,12510,-12495,2.0,67509,0,150000,0,False,True
3,44,238,2,2,0.0,16,7500,1510,3500,12510,-12494,2.0,110015,0,205000,0,False,True
4,47,251,2,2,0.0,18,7500,1511,3500,12511,-12494,2.0,97521,0,205000,0,False,True
5,49,265,3,2,0.0,19,7500,1512,3500,12512,-12493,2.0,85028,0,205000,0,False,True
6,52,279,3,2,0.0,20,7500,1513,3500,12513,-12493,2.0,72536,0,205000,0,False,True
7,55,293,3,2,0.0,21,7500,1513,3500,12513,-12492,2.0,60043,0,205000,0,False,True
8,58,308,3,2,0.0,22,7500,1514,3500,12514,-12492,2.0,47551,0,205000,0,False,True
9,60,324,3,2,0.0,24,7500,1515,3500,12515,-12492,2.0,35060,0,205000,0,False,True
10,63,339,3,3,0.0,25,7500,1516,3500,12516,-12491,2.0,22569,0,205000,0,False,True
11,66,355,4,3,0.0,26,7500,1517,3500,12517,-12491,2.0,10077,0,205000,0,False,True
12,72,388,4,3,1.0,226,7500,1519,3500,12519,-12293,2.0,0,0,205000,2215,True,True
13,82,437,4,3,2.0,423,7500,1521,3500,12521,-12098,2.0,0,0,205000,14313,True,True
14,94,504,5,4,2.9,617,7500,1524,3500,12524,-11907,2.0,0,0,205000,26220,True,True
15,110,588,5,4,3.9,809,7500,1528,3500,12528,-11719,2.0,0,0,205000,37939,True,True
16,129,690,6,5,4.8,998,7500,1532,3500,12532,-11534,2.0,0,0,205000,49474,True,True
17,151,810,7,6,5.7,1185,7500,1538,3500,12538,-11353,2.0,0,0,205000,60827,True,True
18,177,949,8,7,6.6,1369,7500,1544,5000,14044,-12675,2.0,0,0,205000,73501,True,True
19,206,1106,10,8,7.5,1552,7500,1551,5000,14051,-12499,2.0,0,0,205000,86000,True,True
20,239,1281,11,10,8.3,1732,7500,1559,5000,14059,-12327,2.0,0,0,205000,98327,True,True
21,276,1476,13,11,9.1,1911,7500,1568,5000,14068,-12157,2.0,0,0,205000,110484,True,True
22,315,1689,15,13,10.0,2088,7500,1578,5000,14078,-11990,2.0,0,0,205000,122474,True,True
23,359,1922,18,14,10.8,2263,7500,1588,5000,14088,-11826,2.0,0,0,205000,134299,True,True
24,406,2173,20,16,11.5,2436,7500,1600,5000,14100,-11664,2.0,0,0,205000,145963,True,True
25,456,2444,23,18,12.3,2607,7500,1612,5000,14112,-11505,2.0,0,0,205000,157468,True,True
26,510,2733,25,20,13.1,2777,7500,1625,5000,14125,-11348,2.0,0,0,205000,168816,True,True
27,568,3041,28,23,13.8,2945,7500,1640,5000,14140,-11194,2.0,0,0,205000,180010,True,True
28,629,3367,32,25,14.5,3112,7500,1655,5000,14155,-11042,2.0,0,0,205000,191052,True,True
29,693,3712,35,28,15.2,3278,7500,1671,5000,14171,-10893,2.0,0,0,205000,201945,True,True
30,761,4075,39,30,15.9,3442,7500,1688,5000,14188,-10746,2.0,0,0,205000,212691,True,True
31,832,4455,43,33,16.6,3604,7500,1705,5000,14205,-10601,2.0,0,0,205000,223292,True,True
32,906,4853,47,36,17.3,3766,7500,1724,5000,14224,-10458,2.0,0,0,205000,233751,True,True
33,984,5268,51,39,17.9,3926,7500,1744,5000,14244,-10318,2.0,0,0,205000,244068,True,True
34,1064,5700,55,43,18.6,4084,7500,1764,5000,14264,-10180,2.0,0,0,205000,254248,True,True
35,1148,6148,60,46,19.2,4242,7500,1785,5000,14285,-10043,2.0,0,0,205000,264291,True,True
36,1235,6611,65,49,19.8,4398,7500,1807,5000,14307,-9909,2.0,0,0,205000,274200,True,True
37,1324,7090,70,53,20.4,4553,7500,1830,5000,14330,-9777,2.0,0,0,205000,283978,True,True
38,1416,7583,75,57,21.0,4707,7500,1854,5000,14354,-9647,2.0,0,0,205000,293625,True,True
39,1511,8090,80,60,21.6,4859,7500,1878,5000,14378,-9519,2.0,0,0,205000,303144,True,True
40,1608,8610,86,64,22.2,5010,7500,1904,5000,14404,-9393,2.0,0,0,205000,312537,True,True
41,1707,9143,91,68,22.7,5160,7500,1930,5000,14430,-9269,2.0,0,0,205000,321806,True,True
42,1809,9687,97,72,23.3,5309,7500,1957,5000,14457,-9147,2.0,0,0,205000,330953,True,True
43,1913,10243,103,77,23.8,5457,7500,1984,5000,14484,-9027,2.0,0,0,205000,339981,True,True
44,2019,10809,109,81,24.3,5603,7500,2013,5000,14513,-8910,2.0,0,0,205000,348891,True,True
45,2126,11385,115,85,24.8,5748,7500,2042,5000,14542,-8794,2.0,0,0,205000,357684,True,True
46,2235,11969,121,89,25.3,5892,7500,2071,5000,14571,-8680,2.0,0,0,205000,366364,True,True
47,2346,12562,128,94,25.8,6034,7500,2102,5000,14602,-8568,2.0,0,0,205000,374931,True,True
48,2458,13162,134,98,26.3,6175,7500,2133,5000,14633,-8457,2.0,0,0,205000,383389,True,True
49,2571,13768,141,103,26.8,6315,7500,2164,5000,14664,-8349,2.0,0,0,205000,391738,True,True
50,2685,14379,147,107,27.3,6453,7500,2196,5000,14696,-8243,2.0,0,0,205000,399981,True,True
51,2800,14995,154,112,27.7,6590,7500,2229,5000,14729,-8139,2.0,0,0,205000,408120,True,True
52,2916,15615,161,117,28.2,6725,7500,2262,5000,14762,-8036,2.0,0,0,205000,416156,True,True
53,3032,16237,167,121,28.6,6859,7500,2295,5000,14795,-7936,2.0,0,0,205000,424092,True,True
54,3149,16862,174,126,29.0,6992,7500,2329,5000,14829,-7837,2.0,0,0,205000,431930,True,True
55,3266,17487,181,131,29.4,7123,7500,2364,5000,14864,-7741,2.0,0,0,205000,439671,True,True
56,3382,18113,188,135,29.9,7252,7500,2398,5000,14898,-7646,2.0,0,0,205000,447317,True,True
57,3499,18738,195,140,30.3,7380,7500,2433,5000,14933,-7553,2.0,0,0,205000,454870,True,True
58,3616,19361,202,145,30.7,7506,7500,2468,5000,14968,-7463,2.0,0,0,205000,462333,True,True
59,3732,19982,208,149,31.0,7630,7500,2504,5000,15004,-7374,2.0,0,0,205000,469707,True,True
60,3847,20600,215,154,31.4,7753,7500,2540,5000,15040,-7287,2.0,0,0,205000,476993,True,True
61,3962,21214,222,158,31.8,7874,7500,2575,5000,15075,-7202,2.0,0,0,205000,484195,True,True
