month,groups,mau,supporters,archives,sponsors,revenue,team,infra,legal,cost,net,heads,cash,loan,capital_committed,unfunded_cum,out_of_money,lean_phase
0,38,206,0,2,0.0,7,7500,1508,48500,57508,-57501,2.0,92499,0,150000,0,False,True
1,41,222,1,2,0.0,9,7500,1509,3500,12509,-12500,2.0,79999,0,150000,0,False,True
2,45,239,1,2,0.0,11,7500,1510,3500,12510,-12499,2.0,67500,0,150000,0,False,True
3,48,257,1,2,0.0,12,7500,1511,3500,12511,-12499,2.0,110001,0,205000,0,False,True
4,52,277,1,2,0.0,13,7500,1512,3500,12512,-12499,2.0,97502,0,205000,0,False,True
5,56,297,1,2,0.0,14,7500,1513,3500,12513,-12499,2.0,85003,0,205000,0,False,True
6,60,319,2,2,0.0,16,7500,1514,3500,12514,-12499,2.0,72504,0,205000,0,False,True
7,64,342,2,3,0.0,17,7500,1515,3500,12515,-12499,2.0,60006,0,205000,0,False,True
8,68,366,2,3,0.0,18,7500,1517,3500,12517,-12499,2.0,47507,0,205000,0,False,True
9,73,391,2,3,0.0,19,7500,1518,3500,12518,-12499,2.0,35008,0,205000,0,False,True
10,78,418,2,3,0.0,21,7500,1519,3500,12519,-12499,2.0,22509,0,205000,0,False,True
11,83,446,2,3,0.0,22,7500,1521,3500,12521,-12499,2.0,10010,0,205000,0,False,True
12,92,492,2,4,1.0,222,7500,1523,3500,12523,-12301,2.0,0,0,205000,2291,True,True
13,104,556,3,4,2.0,419,7500,1526,3500,12526,-12107,2.0,0,0,205000,14398,True,True
14,119,639,3,5,2.9,613,7500,1530,3500,12530,-11917,2.0,0,0,205000,26315,True,True
15,139,742,3,6,3.9,804,7500,1534,3500,12534,-11731,2.0,0,0,205000,38045,True,True
16,162,865,4,6,4.8,992,7500,1540,3500,12540,-11548,2.0,0,0,205000,49593,True,True
17,189,1010,5,8,5.7,1178,7500,1547,3500,12547,-11369,2.0,0,0,205000,60962,True,True
18,220,1176,5,9,6.6,1361,7500,1554,5000,14054,-12693,2.0,0,0,205000,73655,True,True
19,255,1366,6,10,7.5,1542,7500,1562,5000,14062,-12521,2.0,0,0,205000,86175,True,True
20,295,1579,7,12,8.3,1720,7500,1572,5000,14072,-12352,2.0,0,0,205000,98527,True,True
21,339,1816,8,14,9.1,1897,7500,1583,5000,14083,-12186,2.0,0,0,205000,110712,True,True
22,388,2078,9,16,10.0,2071,7500,1594,5000,14094,-12023,2.0,0,0,205000,122735,True,True
23,442,2366,11,18,10.8,2244,7500,1607,5000,14107,-11864,2.0,0,0,205000,134599,True,True
24,500,2680,12,20,11.5,2414,7500,1622,5000,14122,-11707,2.0,0,0,205000,146306,True,True
25,564,3021,14,23,12.3,2583,7500,1637,5000,14137,-11554,2.0,0,0,205000,157860,True,True
26,633,3389,16,25,13.1,2750,7500,1654,5000,14154,-11403,2.0,0,0,205000,169263,True,True
27,707,3785,18,28,13.8,2916,7500,1672,5000,14172,-11256,2.0,0,0,205000,180519,True,True
28,786,4210,20,31,14.5,3080,7500,1691,5000,14191,-11111,2.0,0,0,205000,191630,True,True
29,871,4664,22,35,15.2,3243,7500,1712,5000,14212,-10969,2.0,0,0,205000,202598,True,True
30,961,5148,24,38,15.9,3405,7500,1734,5000,14234,-10829,2.0,0,0,205000,213427,True,True
31,1057,5661,27,42,16.6,3565,7500,1757,5000,14257,-10692,2.0,0,0,205000,224120,True,True
32,1159,6205,30,46,17.3,3724,7500,1782,5000,14282,-10558,2.0,0,0,205000,234678,True,True
33,1266,6779,33,51,17.9,3882,7500,1809,5000,14309,-10427,2.0,0,0,205000,245105,True,True
34,1379,7385,36,55,18.6,4039,7500,1837,5000,14337,-10297,2.0,0,0,205000,255402,True,True
35,1498,8021,39,60,19.2,4195,7500,1866,5000,14366,-10171,2.0,0,0,205000,265573,True,True
