month,groups,mau,supporters,archives,sponsors,revenue,team,infra,legal,cost,net,heads,cash,loan,capital_committed,unfunded_cum,out_of_money,lean_phase
0,38,206,0,2,0.0,6,7500,1508,48500,57508,-57502,2.0,92498,0,150000,0,False,True
1,41,222,0,2,0.0,7,7500,1509,3500,12509,-12502,2.0,79996,0,150000,0,False,True
2,45,239,0,2,0.0,8,7500,1510,3500,12510,-12502,2.0,67493,0,150000,0,False,True
3,48,257,0,2,0.0,9,7500,1511,3500,12511,-12502,2.0,109991,0,205000,0,False,True
4,52,277,0,2,0.0,9,7500,1512,3500,12512,-12503,2.0,97488,0,205000,0,False,True
5,56,297,0,2,0.0,10,7500,1513,3500,12513,-12503,2.0,84985,0,205000,0,False,True
6,60,319,1,2,0.0,11,7500,1514,3500,12514,-12503,2.0,72482,0,205000,0,False,True
7,64,342,1,3,0.0,12,7500,1515,3500,12515,-12504,2.0,59978,0,205000,0,False,True
8,68,366,1,3,0.0,13,7500,1517,3500,12517,-12504,2.0,47474,0,205000,0,False,True
9,73,391,1,3,0.0,13,7500,1518,3500,12518,-12505,2.0,34969,0,205000,0,False,True
10,78,418,1,3,0.0,14,7500,1519,3500,12519,-12505,2.0,22464,0,205000,0,False,True
11,83,446,1,3,0.0,15,7500,1521,3500,12521,-12505,2.0,9959,0,205000,0,False,True
12,92,492,1,4,1.0,215,7500,1523,3500,12523,-12308,2.0,0,0,205000,2349,True,True
13,104,556,1,4,2.0,411,7500,1526,3500,12526,-12115,2.0,0,0,205000,14464,True,True
14,119,639,1,5,2.9,604,7500,1530,3500,12530,-11926,2.0,0,0,205000,26390,True,True
15,139,742,1,6,3.9,794,7500,1534,3500,12534,-11741,2.0,0,0,205000,38131,True,True
16,162,865,1,6,4.8,980,7500,1540,3500,12540,-11560,2.0,0,0,205000,49690,True,True
17,189,1010,2,8,5.7,1164,7500,1546,3500,12546,-11382,2.0,0,0,205000,61072,True,True
18,220,1176,2,9,6.6,1345,7500,1554,5000,14054,-12709,2.0,0,0,205000,73781,True,True
19,255,1366,2,10,7.5,1523,7500,1562,5000,14062,-12539,2.0,0,0,205000,86320,True,True
20,295,1579,2,12,8.3,1699,7500,1572,5000,14072,-12373,2.0,0,0,205000,98692,True,True
21,339,1816,3,14,9.1,1872,7500,1582,5000,14082,-12210,2.0,0,0,205000,110903,True,True
22,388,2078,3,16,10.0,2043,7500,1594,5000,14094,-12051,2.0,0,0,205000,122954,True,True
23,442,2366,4,18,10.8,2211,7500,1607,5000,14107,-11896,2.0,0,0,205000,134849,True,True
24,500,2680,4,20,11.5,2377,7500,1621,5000,14121,-11744,2.0,0,0,205000,146593,True,True
25,564,3021,5,23,12.3,2541,7500,1636,5000,14136,-11595,2.0,0,0,205000,158189,True,True
26,633,3389,5,25,13.1,2703,7500,1653,5000,14153,-11450,2.0,0,0,205000,169639,True,True
27,707,3785,6,28,13.8,2863,7500,1671,5000,14171,-11308,2.0,0,0,205000,180947,True,True
