month,groups,mau,supporters,archives,sponsors,revenue,team,infra,legal,cost,net,heads,cash,loan,capital_committed,unfunded_cum,out_of_money,lean_phase
0,38,206,1,2,0.0,9,7500,1508,48500,57508,-57499,2.0,92501,0,150000,0,False,True
1,41,222,1,2,0.0,13,7500,1509,3500,12509,-12497,2.0,80004,0,150000,0,False,True
2,45,239,2,2,0.0,15,7500,1510,3500,12510,-12495,2.0,67509,0,150000,0,False,True
3,48,257,2,2,0.0,17,7500,1511,3500,12511,-12494,2.0,110015,0,205000,0,False,True
4,52,277,3,2,0.0,19,7500,1512,3500,12512,-12493,2.0,97522,0,205000,0,False,True
5,56,297,3,2,0.0,21,7500,1513,3500,12513,-12492,2.0,85030,0,205000,0,False,True
6,60,319,3,2,0.0,23,7500,1514,3500,12514,-12492,2.0,72538,0,205000,0,False,True
7,64,342,3,3,0.0,24,7500,1516,3500,12516,-12491,2.0,60047,0,205000,0,False,True
8,68,366,4,3,0.0,26,7500,1517,3500,12517,-12491,2.0,47556,0,205000,0,False,True
9,73,391,4,3,0.0,28,7500,1518,3500,12518,-12490,2.0,35066,0,205000,0,False,True
10,78,418,4,3,0.0,30,7500,1520,3500,12520,-12490,2.0,22577,0,205000,0,False,True
11,83,446,4,3,0.0,32,7500,1521,3500,12521,-12489,2.0,10088,0,205000,0,False,True
12,95,508,5,4,2.0,432,7500,1524,3500,12524,-12092,2.0,0,0,205000,2005,True,True
13,113,605,6,5,4.0,826,7500,1528,3500,12528,-11703,2.0,0,0,205000,13707,True,True
14,138,738,7,6,5.9,1214,7500,1534,3500,12534,-11320,2.0,0,0,205000,25028,True,True
15,170,910,8,7,7.8,1597,7500,1542,3500,12542,-10945,2.0,0,0,205000,35972,True,True
16,209,1121,10,8,9.6,1976,7500,1551,3500,12551,-10575,2.0,0,0,205000,46547,True,True
17,256,1373,12,10,11.4,2350,7500,1562,3500,12562,-10212,2.0,0,0,205000,56759,True,True
18,311,1667,14,12,13.2,2720,7500,1575,5000,14075,-11355,2.0,0,0,205000,68114,True,True
19,374,2005,17,15,14.9,3087,7500,1590,5000,14090,-11003,2.0,0,0,205000,79117,True,True
20,446,2389,21,18,16.6,3450,7500,1607,5000,14107,-10657,2.0,0,0,205000,89774,True,True
21,527,2820,25,21,18.3,3809,7500,1626,5000,14126,-10317,2.0,0,0,205000,100091,True,True
22,616,3298,29,25,19.9,4166,7500,1648,5000,14148,-9982,2.0,0,0,205000,110073,True,True
23,714,3826,34,29,21.5,4520,7500,1671,5000,14171,-9651,2.0,0,0,205000,119724,True,True
24,823,4405,39,33,23.1,4871,7500,1697,5000,14197,-9326,2.0,0,0,205000,129050,True,True
25,940,5036,46,38,24.6,5220,7500,1726,5000,14226,-9006,2.0,0,0,205000,138056,True,True
26,1068,5719,52,43,26.1,5567,7500,1757,5000,14257,-8690,2.0,0,0,205000,146745,True,True
27,1206,6458,59,48,27.6,5912,7500,1790,5000,14290,-8378,2.0,0,0,205000,155124,True,True
28,1354,7251,67,54,29.1,6255,7500,1826,5000,14326,-8071,2.0,0,0,205000,163195,True,True
29,1513,8101,75,61,30.5,6597,7500,1865,5000,14365,-7768,2.0,0,0,205000,170963,True,True
30,1682,9008,84,67,31.9,6937,7500,1907,5000,14407,-7470,2.0,0,0,205000,178433,True,True
31,1862,9973,94,74,33.2,7277,7500,1951,5000,14451,-7175,2.0,0,0,205000,185608,True,True
32,2054,10998,104,82,34.6,7615,7500,1998,5000,14498,-6883,2.0,0,0,205000,192491,True,True
33,2256,12081,115,90,35.9,7953,7500,2049,5000,14549,-6596,2.0,0,0,205000,199087,True,True
34,2470,13225,127,99,37.2,8290,7500,2101,5000,14601,-6312,2.0,0,0,205000,205399,True,True
35,2695,14430,139,108,38.4,8626,7500,2157,5000,14657,-6031,2.0,0,0,205000,211430,True,True
36,2931,15696,152,117,39.7,8962,7500,2216,5000,14716,-5754,2.0,0,0,205000,217184,True,True
37,3179,17023,165,127,40.9,9298,7500,2278,5000,14778,-5480,2.0,0,0,205000,222664,True,True
38,3438,18412,179,138,42.0,9634,7500,2343,5000,14843,-5209,2.0,0,0,205000,227873,True,True
39,3709,19862,194,148,43.2,9970,7500,2412,5000,14912,-4942,2.0,0,0,205000,232815,True,True
40,3991,21374,210,160,44.3,10306,7500,2484,5000,14984,-4677,2.0,0,0,205000,237492,True,True
41,4285,22948,226,171,45.5,10642,7500,2559,5000,15059,-4416,2.0,0,0,205000,241909,True,True
42,4591,24584,243,184,46.5,10979,7500,2637,5000,15137,-4158,2.0,0,0,205000,246066,True,True
43,4908,26280,260,196,47.6,11316,7500,2719,5000,15219,-3902,2.0,0,0,205000,249969,True,True
44,5236,28037,278,209,48.7,11654,7500,2804,5000,15304,-3650,2.0,0,0,205000,253619,True,True
45,5575,29854,297,223,49.7,11991,7529,2892,5000,15420,-3429,2.0,0,0,205000,257048,True,True
46,5925,31731,317,237,50.7,12330,7625,2984,5000,15608,-3278,2.0,0,0,205000,260326,True,True
47,6287,33666,337,251,51.7,12669,7724,3079,5000,15803,-3134,2.0,0,0,205000,263460,True,True
48,6659,35659,358,266,52.6,13009,7826,3177,5000,16003,-2994,2.0,0,0,205000,266454,True,True
49,7042,37709,379,282,53.6,13349,7931,3279,5000,16210,-2861,2.0,0,0,205000,269315,True,True
50,7435,39814,401,297,54.5,13690,8038,3384,5000,16423,-2733,2.0,0,0,205000,272048,True,True
51,7838,41973,424,314,55.4,14031,8149,3493,5000,16642,-2611,2.0,0,0,205000,274659,True,True
