month,groups,mau,supporters,archives,sponsors,revenue,team,infra,legal,cost,net,heads,cash,loan,capital_committed,unfunded_cum,out_of_money,lean_phase
0,38,206,1,2,0.0,9,7500,1508,48500,57508,-57499,2.0,92501,0,150000,0,False,True
1,41,222,1,2,0.0,13,7500,1509,3500,12509,-12497,2.0,80004,0,150000,0,False,True
2,45,239,2,2,0.0,15,7500,1510,3500,12510,-12495,2.0,67509,0,150000,0,False,True
3,48,257,2,2,0.0,17,7500,1511,3500,12511,-12494,2.0,110015,0,205000,0,False,True
4,52,277,3,2,0.0,19,7500,1512,3500,12512,-12493,2.0,97522,0,205000,0,False,True
5,56,297,3,2,0.0,21,7500,1513,3500,12513,-12492,2.0,85030,0,205000,0,False,True
6,60,319,3,2,0.0,23,7500,1514,3500,12514,-12492,2.0,72538,0,205000,0,False,True
7,64,342,3,3,0.0,24,7500,1516,3500,12516,-12491,2.0,60047,0,205000,0,False,True
8,68,366,4,3,0.0,26,7500,1517,3500,12517,-12491,2.0,47556,0,205000,0,False,True
9,73,391,4,3,0.0,28,7500,1518,3500,12518,-12490,2.0,35066,0,205000,0,False,True
10,78,418,4,3,0.0,30,7500,1520,3500,12520,-12490,2.0,22577,0,205000,0,False,True
11,83,446,4,3,0.0,32,7500,1521,3500,12521,-12489,2.0,10088,0,205000,0,False,True
12,95,508,5,4,2.0,234,7500,1524,3500,12524,-12290,2.0,0,0,205000,2203,True,True
13,113,605,6,5,4.0,434,7500,1528,3500,12528,-12095,2.0,0,0,205000,14297,True,True
14,138,738,7,6,5.9,632,7500,1534,3500,12534,-11903,2.0,0,0,205000,26200,True,True
15,170,910,8,7,7.8,829,7500,1542,3500,12542,-11713,2.0,0,0,205000,37913,True,True
16,209,1121,10,8,9.6,1025,7500,1551,3500,12551,-11526,2.0,0,0,205000,49439,True,True
17,256,1373,12,10,11.4,1220,7500,1562,3500,12562,-11342,2.0,0,0,205000,60781,True,True
18,311,1667,14,12,13.2,1415,7500,1575,5000,14075,-12660,2.0,0,0,205000,73442,True,True
19,374,2005,17,15,14.9,1609,7500,1590,5000,14090,-12481,2.0,0,0,205000,85922,True,True
20,446,2389,21,18,16.6,1804,7500,1607,5000,14107,-12303,2.0,0,0,205000,98225,True,True
21,527,2820,25,21,18.3,1998,7500,1626,5000,14126,-12128,2.0,0,0,205000,110353,True,True
22,616,3298,29,25,19.9,2193,7500,1648,5000,14148,-11954,2.0,0,0,205000,122307,True,True
23,714,3826,34,29,21.5,2389,7500,1671,5000,14171,-11783,2.0,0,0,205000,134090,True,True
24,823,4405,39,33,23.1,2585,7500,1697,5000,14197,-11613,2.0,0,0,205000,145703,True,True
25,940,5036,46,38,24.6,2781,7500,1726,5000,14226,-11445,2.0,0,0,205000,157147,True,True
26,1068,5719,52,43,26.1,2979,7500,1757,5000,14257,-11278,2.0,0,0,205000,168425,True,True
27,1206,6458,59,48,27.6,3177,7500,1790,5000,14290,-11113,2.0,0,0,205000,179538,True,True
28,1354,7251,67,54,29.1,3377,7500,1826,5000,14326,-10949,2.0,0,0,205000,190487,True,True
29,1513,8101,75,61,30.5,3579,7500,1865,5000,14365,-10787,2.0,0,0,205000,201274,True,True
30,1682,9008,84,67,31.9,3782,7500,1907,5000,14407,-10625,2.0,0,0,205000,211899,True,True
31,1862,9973,94,74,33.2,3986,7500,1951,5000,14451,-10465,2.0,0,0,205000,222364,True,True
32,2054,10998,104,82,34.6,4192,7500,1998,5000,14498,-10306,2.0,0,0,205000,232671,True,True
33,2256,12081,115,90,35.9,4400,7500,2049,5000,14549,-10148,2.0,0,0,205000,242819,True,True
34,2470,13225,127,99,37.2,4610,7500,2101,5000,14601,-9991,2.0,0,0,205000,252810,True,True
35,2695,14430,139,108,38.4,4822,7500,2157,5000,14657,-9835,2.0,0,0,205000,262645,True,True
36,2931,15696,152,117,39.7,5037,7500,2216,5000,14716,-9680,2.0,0,0,205000,272325,True,True
37,3179,17023,165,127,40.9,5253,7500,2278,5000,14778,-9525,2.0,0,0,205000,281850,True,True
38,3438,18412,179,138,42.0,5472,7500,2343,5000,14843,-9372,2.0,0,0,205000,291222,True,True
39,3709,19862,194,148,43.2,5693,7500,2412,5000,14912,-9219,2.0,0,0,205000,300440,True,True
40,3991,21374,210,160,44.3,5917,7500,2484,5000,14984,-9067,2.0,0,0,205000,309507,True,True
41,4285,22948,226,171,45.5,6143,7500,2559,5000,15059,-8916,2.0,0,0,205000,318423,True,True
42,4591,24584,243,184,46.5,6371,7500,2637,5000,15137,-8765,2.0,0,0,205000,327188,True,True
43,4908,26280,260,196,47.6,6603,7500,2719,5000,15219,-8616,2.0,0,0,205000,335804,True,True
44,5236,28037,278,209,48.7,6836,7500,2804,5000,15304,-8467,2.0,0,0,205000,344272,True,True
45,5575,29854,297,223,49.7,7073,7529,2892,5000,15420,-8348,2.0,0,0,205000,352620,True,True
46,5925,31731,317,237,50.7,7311,7625,2984,5000,15608,-8297,2.0,0,0,205000,360917,True,True
47,6287,33666,337,251,51.7,7553,7724,3079,5000,15803,-8250,2.0,0,0,205000,369166,True,True
48,6659,35659,358,266,52.6,7797,7826,3177,5000,16003,-8206,2.0,0,0,205000,377373,True,True
49,7042,37709,379,282,53.6,8043,7931,3279,5000,16210,-8167,2.0,0,0,205000,385539,True,True
50,7435,39814,401,297,54.5,8292,8038,3384,5000,16423,-8131,2.0,0,0,205000,393670,True,True
51,7838,41973,424,314,55.4,8544,8149,3493,5000,16642,-8098,2.0,0,0,205000,401768,True,True
