month,total_users,new_signups,paying_users,revenue,infra_cost,team_cost,legal_cost,payment_fees,vat,age_verification_cost,total_cost,net,founder_capital_drawn,donation_drawn,loan_drawn_this_month,loan_balance,cash_balance
0,250,250,6,32.89,637.5,14933.33,48700,2.96,1.65,10.5,64281.33,-64248.45,150000,0.0,0.0,0.0,85751.55
1,295,50,7,38.4,644.25,14933.33,3700,3.46,1.93,2.13,19279.71,-19241.31,0.0,0.0,0.0,0.0,66510.24
2,346,57,8,44.65,651.9,14933.33,3700,4.02,2.24,2.42,19287.66,-19243.01,0.0,55000,0.0,0.0,102267.23
3,404,65,9,51.67,660.6,14933.33,3700,4.65,2.59,2.74,19296.68,-19245.0,0.0,0.0,0.0,0.0,83022.23
4,469,73,11,59.54,670.35,14933.33,3700,5.36,2.99,3.09,19306.77,-19247.23,0.0,0.0,0.0,0.0,63775.0
5,542,82,12,68.3,681.3,14933.33,3700,6.15,3.43,3.46,19318.09,-19249.79,0.0,0.0,0.0,0.0,44525.21
6,623,91,14,78.0,693.45,14933.33,3700,7.03,3.91,3.86,19330.64,-19252.64,0.0,0.0,0.0,0.0,25272.56
7,712,101,16,88.68,706.8,14933.33,3700,7.99,4.45,4.28,19344.42,-19255.73,0.0,0.0,8983.17,8983.17,15000.0
8,810,112,19,100.37,721.5,14933.33,3700,9.04,5.04,4.72,19359.56,-19259.18,0.0,0.0,19259.18,28264.81,15000.0
9,917,123,21,113.1,737.55,14933.33,3700,10.19,5.67,5.18,19376.07,-19262.97,0.0,0.0,19262.97,47598.44,15000.0
10,1033,134,24,126.88,754.95,14933.33,3700,11.43,6.37,5.66,19393.95,-19267.07,0.0,0.0,19267.07,66984.51,15000.0
11,1158,146,26,141.72,773.7,14933.33,3700,12.77,7.11,6.16,19413.19,-19271.47,0.0,0.0,19271.47,86423.44,15000.0
12,1293,158,29,157.62,793.95,28266.67,3700,14.2,7.91,6.66,32767.28,-32609.65,0.0,0.0,32609.65,119249.15,15000.0
13,1438,170,33,174.58,815.7,28266.67,3700,15.73,8.76,7.18,32789.54,-32614.96,0.0,0.0,32614.96,152162.23,15000.0
14,1592,183,36,192.6,838.8,28266.67,3700,17.35,9.66,7.7,32813.17,-32620.57,0.0,0.0,32620.57,185163.21,15000.0
15,1756,195,40,211.63,863.4,28266.67,3700,19.06,10.62,8.23,32838.3,-32626.66,0.0,0.0,32626.66,218252.78,15000.0
16,1929,208,44,231.66,889.35,28266.67,3700,20.87,11.62,8.76,32864.78,-32633.12,0.0,0.0,32633.12,251431.53,15000.0
17,2111,221,48,252.63,916.65,28266.67,3700,22.76,12.67,9.28,32892.6,-32639.97,0.0,0.0,32639.97,284700.08,15000.0
18,2302,233,52,274.5,945.3,36586.67,3700,24.73,13.77,9.81,41241.77,-40967.27,0.0,0.0,40967.27,326379.11,15000.0
19,2501,245,56,297.21,975.15,36586.67,3700,26.77,14.91,10.32,41272.13,-40974.93,0.0,0.0,40974.93,368169.98,15000.0
20,2708,257,60,320.69,1006.2,36586.67,3700,28.89,16.09,10.82,41303.68,-40983.0,0.0,0.0,40983.0,410073.4,15000.0
21,2922,269,65,344.87,1038.3,36586.67,3700,31.07,17.3,11.3,41336.27,-40991.4,0.0,0.0,40991.4,452089.99,15000.0
22,3143,280,70,369.66,1071.45,36586.67,3700,33.3,18.55,11.77,41369.89,-41000.23,0.0,0.0,41000.23,494220.44,15000.0
23,3371,290,75,394.98,1105.65,36586.67,3700,35.58,19.82,12.22,41404.53,-41009.55,0.0,0.0,41009.55,536465.55,15000.0
24,3604,301,79,420.76,1140.6,49920.0,3700,37.9,21.11,12.64,54773.24,-54352.48,0.0,0.0,54352.48,592159.19,15000.0
25,3842,310,84,446.89,1176.3,49920.0,3700,40.26,22.42,13.04,54809.34,-54362.45,0.0,0.0,54362.45,648002.04,15000.0
26,4084,319,89,473.28,1212.6,49920.0,3700,42.63,23.75,13.42,54846.02,-54372.74,0.0,0.0,54372.74,703994.78,15000.0
27,4330,327,94,499.83,1249.5,49920.0,3700,45.02,25.08,13.77,54883.27,-54383.43,0.0,0.0,54383.43,760138.2,15000.0
28,4578,335,100,526.45,1286.7,49920.0,3700,47.42,26.41,14.08,54920.78,-54394.33,0.0,0.0,54394.33,816432.88,15000.0
29,4828,342,105,553.03,1324.2,49920.0,3700,49.82,27.75,14.37,54958.57,-54405.54,0.0,0.0,54405.54,872879.49,15000.0
30,5079,348,110,579.48,1361.85,60053.33,3700,52.2,29.07,14.62,65129.81,-64550.33,0.0,0.0,64550.33,939612.02,15000.0
31,5330,353,115,605.7,1399.5,60053.33,3700,54.56,30.39,14.85,65167.68,-64561.98,0.0,0.0,64561.98,1006523.03,15000.0
32,5581,357,120,631.59,1437.15,60053.33,3700,56.89,31.69,15.03,65205.52,-64573.93,0.0,0.0,64573.93,1073613.27,15000.0
33,5831,361,124,657.06,1474.65,60053.33,3700,59.19,32.97,15.19,65243.17,-64586.11,0.0,0.0,64586.11,1140883.42,15000.0
34,6079,364,129,682.03,1511.85,60053.33,3700,61.44,34.22,15.32,65280.5,-64598.46,0.0,0.0,64598.46,1208334.09,15000.0
35,6324,366,134,706.42,1548.6,60053.33,3700,63.63,35.44,15.41,65317.34,-64610.92,0.0,0.0,64610.92,1275965.84,15000.0
36,6565,368,138,730.15,1584.75,60053.33,3700,65.77,36.63,15.47,65353.55,-64623.4,0.0,0.0,64623.4,1343779.16,15000.0
37,6802,368,143,753.13,1620.3,60053.33,3700,67.84,37.79,15.5,65389.13,-64636.0,0.0,0.0,64636.0,1411774.61,15000.0
38,7034,368,147,775.3,1655.1,60053.33,3700,69.84,38.9,15.49,65423.93,-64648.63,0.0,0.0,34695.96,1450000.0,-14952.68
39,7261,368,151,796.59,1689.15,60053.33,3700,71.76,39.97,15.46,65457.94,-64661.36,0.0,0.0,0.0,1453625.0,-79614.03
40,7482,366,155,816.95,1722.3,60053.33,3700,73.59,40.99,15.4,65491.03,-64674.09,0.0,0.0,0.0,1457259.06,-144288.12
41,7696,364,158,836.32,1754.4,60053.33,3700,75.34,41.96,15.31,65523.05,-64686.73,0.0,0.0,0.0,1460902.21,-208974.85
42,7904,361,162,854.66,1785.6,60053.33,3700,76.99,42.88,15.2,65554.13,-64699.47,0.0,0.0,0.0,1464554.47,-273674.32
43,8104,358,165,871.94,1815.6,60053.33,3700,78.54,43.75,15.07,65584.0,-64712.06,0.0,0.0,0.0,1468215.85,-338386.39
44,8296,354,168,888.11,1844.4,60053.33,3700,80.0,44.56,14.91,65612.64,-64724.53,0.0,0.0,0.0,1471886.39,-403110.92
45,8480,350,171,903.15,1872.0,60053.33,3700,81.36,45.31,14.73,65640.06,-64736.91,0.0,0.0,0.0,1475566.11,-467847.83
46,8656,345,174,917.03,1898.4,60053.33,3700,82.61,46.01,14.53,65666.26,-64749.23,0.0,0.0,0.0,1479255.02,-532597.06
47,8823,340,176,929.75,1923.45,60053.33,3700,83.75,46.65,14.31,65691.09,-64761.34,0.0,0.0,0.0,1482953.16,-597358.41
48,8981,335,178,941.29,1947.15,60053.33,3700,84.79,47.23,14.07,65714.56,-64773.27,0.0,0.0,0.0,1486660.54,-662131.68
49,9130,329,180,951.64,1969.5,60053.33,3700,85.72,47.74,13.82,65736.66,-64785.02,0.0,0.0,0.0,1490377.19,-726916.69
50,9270,322,182,960.81,1990.5,60053.33,3700,86.55,48.2,13.56,65757.39,-64796.59,0.0,0.0,0.0,1494103.14,-791713.28
51,9400,316,184,968.8,2010.0,60053.33,3700,87.27,48.61,13.29,65776.62,-64807.82,0.0,0.0,0.0,1497838.4,-856521.1
52,9521,309,185,975.62,2028.15,60053.33,3700,87.88,48.95,13.0,65794.49,-64818.87,0.0,0.0,0.0,1501582.99,-921339.97
53,9633,302,186,981.27,2044.95,60053.33,3700,88.39,49.23,12.71,65810.99,-64829.72,0.0,0.0,0.0,1505336.95,-986169.69
54,9735,295,187,985.79,2060.25,60053.33,3700,88.8,49.46,12.41,65825.99,-64840.2,0.0,0.0,0.0,1509100.29,-1051009.89
55,9828,288,187,989.19,2074.2,60053.33,3700,89.11,49.63,12.1,65839.63,-64850.44,0.0,0.0,0.0,1512873.04,-1115860.33
56,9912,280,188,991.49,2086.8,60053.33,3700,89.31,49.74,11.79,65851.92,-64860.43,0.0,0.0,0.0,1516655.22,-1180720.76
57,9986,273,188,992.73,2097.9,60053.33,3700,89.42,49.81,11.47,65862.71,-64869.98,0.0,0.0,0.0,1520446.86,-1245590.74
58,10051,265,188,992.92,2107.65,60053.33,3700,89.44,49.82,11.15,65872.14,-64879.22,0.0,0.0,0.0,1524247.98,-1310469.96
59,10107,257,188,992.1,2116.05,60053.33,3700,89.37,49.77,10.83,65880.22,-64888.12,0.0,0.0,0.0,1528058.6,-1375358.08
60,10155,250,188,990.3,2123.25,60053.33,3700,89.21,49.68,10.51,65887.1,-64896.79,0.0,0.0,0.0,1531878.75,-1440254.87
61,10194,242,187,987.57,2129.1,60053.33,3700,88.96,49.55,10.19,65892.63,-64905.06,0.0,0.0,0.0,1535708.44,-1505159.92
62,10225,235,186,983.93,2133.75,60053.33,3700,88.63,49.36,9.87,65896.96,-64913.02,0.0,0.0,0.0,1539547.71,-1570072.95
