month,total_users,new_signups,paying_users,revenue,infra_cost,team_cost,legal_cost,payment_fees,vat,age_verification_cost,total_cost,net,founder_capital_drawn,donation_drawn,loan_drawn_this_month,loan_balance,cash_balance
0,250,250,6,32.89,637.5,14933.33,48700,2.96,1.65,10.5,64281.33,-64248.45,150000,0.0,0.0,0.0,85751.55
1,346,101,8,45.07,651.9,14933.33,3700,4.06,2.26,4.26,19289.49,-19244.42,0.0,0.0,0.0,0.0,66507.13
2,474,135,11,61.29,671.1,14933.33,3700,5.52,3.08,5.68,19310.12,-19248.83,0.0,55000,0.0,0.0,102258.3
3,643,178,15,82.68,696.45,14933.33,3700,7.45,4.15,7.51,19337.3,-19254.62,0.0,0.0,0.0,0.0,83003.69
4,864,234,21,110.59,729.6,14933.33,3700,9.96,5.55,9.84,19372.77,-19262.18,0.0,0.0,0.0,0.0,63741.51
5,1150,303,27,146.67,772.5,14933.33,3700,13.21,7.36,12.75,19418.59,-19271.92,0.0,0.0,0.0,0.0,44469.59
6,1517,390,36,192.85,827.55,14933.33,3700,17.37,9.68,16.38,19477.27,-19284.42,0.0,0.0,0.0,0.0,25185.18
7,1983,496,47,251.41,897.45,14933.33,3700,22.65,12.61,20.85,19551.64,-19300.22,0.0,0.0,9115.05,9115.05,15000.0
8,2569,626,61,325.0,985.35,14933.33,3700,29.28,16.31,26.31,19644.99,-19319.98,0.0,0.0,19319.98,28457.82,15000.0
9,3300,782,79,416.63,1095.0,14933.33,3700,37.53,20.9,32.89,19761.22,-19344.59,0.0,0.0,19344.59,47873.55,15000.0
10,4204,970,100,529.73,1230.6,14933.33,3700,47.72,26.58,40.76,19904.7,-19374.97,0.0,0.0,19374.97,67368.2,15000.0
11,5313,1193,126,668.16,1396.95,14933.33,3700,60.19,33.52,50.11,20080.4,-19412.24,0.0,0.0,19412.24,86948.86,15000.0
12,6661,1455,158,836.2,1599.15,28266.67,3700,75.32,41.95,61.12,33626.93,-32790.73,0.0,0.0,32790.73,119956.97,15000.0
13,8288,1760,197,1038.53,1843.2,28266.67,3700,93.55,52.1,73.94,33883.81,-32845.28,0.0,0.0,32845.28,153102.14,15000.0
14,10236,2113,243,1280.26,2135.4,28266.67,3700,115.33,64.23,88.78,34190.85,-32910.59,0.0,0.0,32910.59,186395.48,15000.0
15,12550,2519,297,1566.88,2482.5,28266.67,3700,141.14,78.61,105.81,34554.98,-32988.1,0.0,0.0,32988.1,219849.57,15000.0
16,15279,2980,361,1904.16,2891.85,28266.67,3700,171.53,95.53,125.19,34983.71,-33079.55,0.0,0.0,33079.55,253478.75,15000.0
17,18475,3501,436,2298.19,3371.25,28266.67,3700,207.02,115.3,147.08,35485.0,-33186.81,0.0,0.0,33186.81,287299.25,15000.0
18,22191,4086,523,2755.3,3928.65,36586.67,3700,248.2,138.24,171.62,44386.94,-41631.64,0.0,0.0,41631.64,329649.14,15000.0
19,26483,4736,623,3281.93,4572.45,36586.67,3700,295.64,164.66,198.93,45058.04,-41776.11,0.0,0.0,41776.11,372249.37,15000.0
20,31407,5454,738,3884.62,5311.05,36586.67,3700,349.93,194.9,229.09,45826.81,-41942.19,0.0,0.0,41942.19,415122.19,15000.0
21,37021,6242,868,4569.84,6153.15,36586.67,3700,411.65,229.27,262.18,46702.0,-42132.16,0.0,0.0,42132.16,458292.15,15000.0
22,43381,7100,1015,5343.99,7107.15,36586.67,3700,481.39,268.11,298.23,47692.04,-42348.06,0.0,0.0,42348.06,501785.93,15000.0
23,50542,8029,1180,6213.2,8181.3,36586.67,3700,559.68,311.72,337.23,48805.2,-42592.0,0.0,0.0,42592.0,545632.4,15000.0
24,58558,9027,1365,7183.28,9383.7,49920.0,3700,647.07,360.39,379.15,63382.85,-56199.57,0.0,0.0,56199.57,603196.04,15000.0
25,67479,10092,1569,8259.59,10721.85,49920.0,3700,744.02,414.39,423.9,64765.75,-56506.16,0.0,0.0,56506.16,661210.2,15000.0
26,77352,11223,1795,9446.96,12202.8,49920.0,3700,850.98,473.96,471.39,66294.19,-56847.23,0.0,0.0,56847.23,719710.45,15000.0
27,88220,12415,2042,10749.55,13833.0,49920.0,3700,968.32,539.32,521.44,67974.44,-57224.89,0.0,0.0,57224.89,778734.62,15000.0
28,100119,13664,2312,12170.83,15617.85,49920.0,3700,1096.35,610.62,573.89,69811.74,-57640.91,0.0,0.0,57640.91,838322.37,15000.0
29,113080,14964,2606,13713.41,17562.0,49920.0,3700,1235.3,688.02,628.5,71810.5,-58097.09,0.0,0.0,58097.09,898515.27,15000.0
30,127128,16310,2922,15379.02,19669.2,60053.33,3700,1385.34,771.58,685.02,84107.55,-68728.53,0.0,0.0,68728.53,969490.09,15000.0
31,142279,17694,3262,17168.46,21941.85,60053.33,3700,1546.53,861.36,743.17,86438.35,-69269.89,0.0,0.0,69269.89,1041183.7,15000.0
32,158543,19110,3626,19081.51,24381.45,60053.33,3700,1718.86,957.34,802.63,88937.41,-69855.9,0.0,0.0,69855.9,1113642.56,15000.0
33,175921,20549,4013,21116.92,26988.15,60053.33,3700,1902.21,1059.46,863.07,91604.56,-70487.64,0.0,0.0,70487.64,1186914.31,15000.0
34,194406,22003,4422,23272.41,29760.9,60053.33,3700,2096.37,1167.6,924.16,94438.39,-71165.98,0.0,0.0,71165.98,1261047.57,15000.0
35,213982,23464,4854,25544.66,32697.3,60053.33,3700,2301.06,1281.6,985.52,97436.15,-71891.49,0.0,0.0,71891.49,1336091.68,15000.0
36,234625,24923,5307,27929.29,35793.75,60053.33,3700,2515.87,1401.24,1046.79,100593.87,-72664.58,0.0,0.0,72664.58,1412096.49,15000.0
37,256303,26371,5781,30420.93,39045.45,60053.33,3700,2740.31,1526.25,1107.6,103906.38,-73485.46,0.0,0.0,34373.27,1450000.0,-24112.18
38,278976,27799,6273,33013.25,42446.4,60053.33,3700,2973.83,1656.31,1167.59,107367.32,-74354.07,0.0,0.0,0.0,1453625.0,-98466.25
39,302596,29199,6784,35699.04,45989.4,60053.33,3700,3215.76,1791.06,1226.4,110969.13,-75270.09,0.0,0.0,0.0,1457259.06,-173736.35
40,327107,30563,7310,38470.22,49666.05,60053.33,3700,3465.39,1930.09,1283.67,114703.06,-76232.84,0.0,0.0,0.0,1460902.21,-249969.19
41,352447,31882,7852,41317.97,53467.05,60053.33,3700,3721.91,2072.97,1339.09,118559.47,-77241.5,0.0,0.0,0.0,1464554.47,-327210.69
42,378548,33150,8406,44232.79,57382.2,60053.33,3700,3984.48,2219.2,1392.32,122527.85,-78295.07,0.0,0.0,0.0,1468215.85,-405505.76
43,405336,34359,8970,47204.61,61400.4,60053.33,3700,4252.18,2368.3,1443.09,126596.83,-79392.22,0.0,0.0,0.0,1471886.39,-484897.97
44,432732,35503,9544,50222.88,65509.8,60053.33,3700,4524.07,2519.73,1491.13,130754.26,-80531.38,0.0,0.0,0.0,1475566.11,-565429.35
