month,total_users,new_signups,paying_users,revenue,infra_cost,team_cost,legal_cost,payment_fees,vat,age_verification_cost,total_cost,net,founder_capital_drawn,donation_drawn,loan_drawn_this_month,loan_balance,cash_balance
0,250,250,12,65.78,637.5,14933.33,48700,5.93,3.3,10.5,64281.33,-64215.56,150000,0.0,0.0,0.0,85784.44
1,295,50,14,76.8,644.25,14933.33,3700,6.92,3.85,2.13,19279.71,-19202.91,0.0,0.0,0.0,0.0,66581.53
2,346,57,16,89.29,651.9,14933.33,3700,8.04,4.48,2.42,19287.66,-19198.36,0.0,55000,0.0,0.0,102383.17
3,404,65,19,103.35,660.6,14933.33,3700,9.31,5.18,2.74,19296.68,-19193.33,0.0,0.0,0.0,0.0,83189.84
4,469,73,22,119.09,670.35,14933.33,3700,10.73,5.97,3.09,19306.77,-19187.69,0.0,0.0,0.0,0.0,64002.15
5,542,82,25,136.6,681.3,14933.33,3700,12.31,6.85,3.46,19318.09,-19181.49,0.0,0.0,0.0,0.0,44820.66
6,623,91,29,156.0,693.45,14933.33,3700,14.05,7.83,3.86,19330.64,-19174.64,0.0,0.0,0.0,0.0,25646.02
7,712,101,33,177.37,706.8,14933.33,3700,15.98,8.9,4.28,19344.42,-19167.05,0.0,0.0,8521.03,8521.03,15000.0
8,810,112,38,200.74,721.5,14933.33,3700,18.08,10.07,4.72,19359.56,-19158.81,0.0,0.0,19158.81,27701.15,15000.0
9,917,123,42,226.19,737.55,14933.33,3700,20.38,11.35,5.18,19376.07,-19149.87,0.0,0.0,19149.87,46920.27,15000.0
10,1033,134,48,253.76,754.95,14933.33,3700,22.86,12.73,5.66,19393.95,-19140.19,0.0,0.0,19140.19,66177.77,15000.0
11,1158,146,53,283.44,773.7,14933.33,3700,25.53,14.22,6.16,19413.19,-19129.75,0.0,0.0,19129.75,85472.96,15000.0
12,1293,158,59,315.25,793.95,28266.67,3700,28.4,15.82,6.66,32767.28,-32452.03,0.0,0.0,32452.03,118138.67,15000.0
13,1438,170,66,349.17,815.7,28266.67,3700,31.45,17.52,7.18,32789.54,-32440.37,0.0,0.0,32440.37,150874.39,15000.0
14,1592,183,73,385.2,838.8,28266.67,3700,34.7,19.33,7.7,32813.17,-32427.97,0.0,0.0,32427.97,183679.55,15000.0
15,1756,195,80,423.26,863.4,28266.67,3700,38.13,21.24,8.23,32838.3,-32415.03,0.0,0.0,32415.03,216553.78,15000.0
16,1929,208,88,463.31,889.35,28266.67,3700,41.74,23.24,8.76,32864.78,-32401.46,0.0,0.0,32401.46,249496.63,15000.0
17,2111,221,96,505.26,916.65,28266.67,3700,45.51,25.35,9.28,32892.6,-32387.34,0.0,0.0,32387.34,282507.72,15000.0
18,2302,233,104,549.0,945.3,36586.67,3700,49.45,27.54,9.81,41241.77,-40692.78,0.0,0.0,40692.78,323906.76,15000.0
19,2501,245,112,594.41,975.15,36586.67,3700,53.54,29.82,10.32,41272.13,-40677.72,0.0,0.0,40677.72,365394.25,15000.0
20,2708,257,121,641.37,1006.2,36586.67,3700,57.77,32.18,10.82,41303.68,-40662.31,0.0,0.0,40662.31,406970.04,15000.0
21,2922,269,131,689.73,1038.3,36586.67,3700,62.13,34.6,11.3,41336.27,-40646.54,0.0,0.0,40646.54,448634.01,15000.0
22,3143,280,140,739.32,1071.45,36586.67,3700,66.6,37.09,11.77,41369.89,-40630.57,0.0,0.0,40630.57,490386.16,15000.0
23,3371,290,150,789.97,1105.65,36586.67,3700,71.16,39.63,12.22,41404.53,-40614.57,0.0,0.0,40614.57,532226.69,15000.0
24,3604,301,159,841.52,1140.6,49920.0,3700,75.8,42.22,12.64,54773.24,-53931.72,0.0,0.0,53931.72,587488.98,15000.0
25,3842,310,169,893.79,1176.3,49920.0,3700,80.51,44.84,13.04,54809.34,-53915.56,0.0,0.0,53915.56,642873.26,15000.0
26,4084,319,179,946.57,1212.6,49920.0,3700,85.27,47.49,13.42,54846.02,-53899.45,0.0,0.0,53899.45,698379.89,15000.0
27,4330,327,189,999.67,1249.5,49920.0,3700,90.05,50.15,13.77,54883.27,-53883.6,0.0,0.0,53883.6,754009.44,15000.0
28,4578,335,200,1052.91,1286.7,49920.0,3700,94.85,52.83,14.08,54920.78,-53867.88,0.0,0.0,53867.88,809762.34,15000.0
29,4828,342,210,1106.07,1324.2,49920.0,3700,99.63,55.49,14.37,54958.57,-53852.5,0.0,0.0,53852.5,865639.25,15000.0
